epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1047.14,0.69013,0.4736,0.86578,0.99801,0.96552,0.99325,0.84578,0.65038,0.4177,0.84359,0.000944,0.000944,0.000944
82,1058.27,0.67661,0.47143,0.87547,1,0.98267,0.99421,0.8489,0.62842,0.41974,0.83384,0.0009308,0.0009308,0.0009308
83,1082.04,0.68014,0.50062,0.88462,1,0.99927,0.995,0.85002,0.66667,0.39742,0.8329,0.0009176,0.0009176,0.0009176
84,1088.13,0.68741,0.48071,0.87486,0.9994,1,0.995,0.87881,0.60902,0.37214,0.83857,0.0009044,0.0009044,0.0009044
85,1099.45,0.6582,0.45045,0.8681,1,0.99872,0.995,0.85521,0.60495,0.37454,0.83243,0.0008912,0.0008912,0.0008912
86,1108.78,0.69566,0.46765,0.8733,0.99449,0.98276,0.99451,0.85869,0.59692,0.37928,0.83401,0.000878,0.000878,0.000878
87,1127.58,0.63826,0.44506,0.85443,0.98175,1,0.99483,0.83755,0.67023,0.3967,0.83815,0.0008648,0.0008648,0.0008648
88,1134.51,0.68168,0.44868,0.86724,0.99838,0.98276,0.99467,0.86042,0.59343,0.36058,0.83402,0.0008516,0.0008516,0.0008516
89,1137.67,0.67302,0.45399,0.85807,0.99756,0.98276,0.99451,0.87622,0.56425,0.37139,0.8301,0.0008384,0.0008384,0.0008384
90,1143.97,0.63878,0.42662,0.84776,0.99719,0.98276,0.99467,0.8637,0.63042,0.36271,0.843,0.0008252,0.0008252,0.0008252
91,1147.39,0.64195,0.43184,0.84856,0.99592,0.98276,0.99467,0.86364,0.60885,0.37225,0.84223,0.000812,0.000812,0.000812
92,1150.31,0.67614,0.44096,0.85411,0.99768,0.98276,0.99435,0.87281,0.60536,0.34834,0.83239,0.0007988,0.0007988,0.0007988
93,1160.69,0.66988,0.44367,0.86603,1,0.99835,0.995,0.85388,0.63298,0.35797,0.83197,0.0007856,0.0007856,0.0007856
94,1169.77,0.66504,0.46025,0.84298,0.98302,0.9982,0.99483,0.85145,0.61773,0.36375,0.82901,0.0007724,0.0007724,0.0007724
95,1177.83,0.64718,0.44373,0.85646,0.983,1,0.99449,0.8644,0.56684,0.36352,0.82402,0.0007592,0.0007592,0.0007592
96,1182.52,0.58951,0.41537,0.84867,1,0.99907,0.995,0.87174,0.59488,0.36287,0.82817,0.000746,0.000746,0.000746
97,1201.28,0.62933,0.421,0.86049,1,0.99932,0.995,0.86831,0.60994,0.35259,0.83468,0.0007328,0.0007328,0.0007328
98,1218.05,0.60674,0.42796,0.85954,0.99877,1,0.995,0.87289,0.57441,0.35379,0.82863,0.0007196,0.0007196,0.0007196
99,1224.12,0.57668,0.40192,0.85035,1,0.99794,0.995,0.85459,0.59137,0.35718,0.83266,0.0007064,0.0007064,0.0007064
100,1232.37,0.6002,0.42547,0.85581,1,0.99856,0.995,0.86573,0.59408,0.35569,0.82692,0.0006932,0.0006932,0.0006932
101,1239.61,0.61625,0.43521,0.85288,0.99815,0.98276,0.99451,0.87948,0.59325,0.3541,0.83177,0.00068,0.00068,0.00068
102,1258.86,0.60197,0.43831,0.85008,0.99245,0.98276,0.99467,0.88007,0.55147,0.34601,0.83173,0.0006668,0.0006668,0.0006668
103,1276.1,0.58341,0.42153,0.86525,0.98252,1,0.99483,0.86633,0.57101,0.34875,0.82897,0.0006536,0.0006536,0.0006536
104,1282.48,0.56119,0.41601,0.83818,1,0.99693,0.995,0.88975,0.5366,0.35275,0.82367,0.0006404,0.0006404,0.0006404
105,1287.59,0.61839,0.41403,0.83906,0.99801,1,0.995,0.8648,0.58259,0.37021,0.8335,0.0006272,0.0006272,0.0006272
106,1303.76,0.58559,0.41671,0.86237,0.99453,1,0.995,0.87753,0.56668,0.35969,0.82808,0.000614,0.000614,0.000614
107,1309.21,0.55989,0.38064,0.84453,0.99739,1,0.995,0.85745,0.6044,0.35463,0.83109,0.0006008,0.0006008,0.0006008
108,1324.04,0.58021,0.38819,0.86332,0.99742,1,0.995,0.88472,0.56433,0.32417,0.83193,0.0005876,0.0005876,0.0005876
109,1334.54,0.62326,0.41865,0.85081,0.99646,1,0.995,0.86319,0.654,0.33911,0.83798,0.0005744,0.0005744,0.0005744
110,1349.77,0.56075,0.39739,0.84737,0.99576,1,0.995,0.86315,0.61296,0.34335,0.83757,0.0005612,0.0005612,0.0005612
111,1357.35,0.57429,0.39701,0.83828,0.99613,1,0.995,0.86063,0.61609,0.3385,0.83593,0.000548,0.000548,0.000548
112,1368.67,0.61488,0.40555,0.8498,0.99823,1,0.995,0.86739,0.59921,0.33341,0.83445,0.0005348,0.0005348,0.0005348
113,1378.16,0.55,0.38639,0.83846,0.99849,1,0.995,0.87424,0.56844,0.32659,0.82912,0.0005216,0.0005216,0.0005216
114,1387.04,0.54857,0.38163,0.83857,0.99826,1,0.995,0.88574,0.55059,0.30262,0.82295,0.0005084,0.0005084,0.0005084
115,1394.82,0.56393,0.39296,0.83534,0.99832,1,0.995,0.88346,0.54023,0.31612,0.81964,0.0004952,0.0004952,0.0004952
116,1404.81,0.54377,0.37587,0.83041,0.9962,1,0.995,0.88002,0.55389,0.33042,0.82423,0.000482,0.000482,0.000482
117,1422.78,0.52686,0.39908,0.85685,0.99641,1,0.995,0.8742,0.57271,0.34719,0.82575,0.0004688,0.0004688,0.0004688
118,1437.64,0.56513,0.38373,0.85189,0.99423,0.98276,0.99451,0.86367,0.62699,0.36088,0.82727,0.0004556,0.0004556,0.0004556
119,1449.34,0.54199,0.38598,0.83189,0.99089,0.98276,0.99435,0.8724,0.57367,0.35168,0.82148,0.0004424,0.0004424,0.0004424
120,1458.14,0.54832,0.37933,0.83176,0.99388,0.98276,0.99483,0.87273,0.57244,0.34791,0.82183,0.0004292,0.0004292,0.0004292
121,1471.77,0.49566,0.35828,0.85063,0.97946,1,0.99483,0.86895,0.57453,0.34005,0.82173,0.000416,0.000416,0.000416
122,1486.3,0.49703,0.36332,0.83851,0.98101,1,0.99483,0.86981,0.58698,0.34864,0.82722,0.0004028,0.0004028,0.0004028
123,1497.99,0.53467,0.38121,0.82921,0.99432,1,0.995,0.87198,0.57304,0.32862,0.825,0.0003896,0.0003896,0.0003896
124,1505.9,0.56173,0.37898,0.84235,0.99661,1,0.995,0.87654,0.57242,0.32185,0.82515,0.0003764,0.0003764,0.0003764
125,1514.41,0.59946,0.39095,0.84197,0.99729,1,0.995,0.8783,0.57332,0.31021,0.82563,0.0003632,0.0003632,0.0003632
126,1531.13,0.52611,0.36003,0.84302,0.998,1,0.995,0.8735,0.55631,0.29605,0.82544,0.00035,0.00035,0.00035
127,1535.69,0.50051,0.35415,0.83853,0.99826,1,0.995,0.86902,0.57219,0.31896,0.82624,0.0003368,0.0003368,0.0003368
128,1547.29,0.51036,0.35887,0.83206,0.99866,1,0.995,0.88375,0.55861,0.31288,0.82078,0.0003236,0.0003236,0.0003236
129,1556,0.51843,0.36055,0.84396,0.9987,1,0.995,0.87767,0.55052,0.3095,0.82077,0.0003104,0.0003104,0.0003104
