fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,texto_matricula
131,person,0.7915568947792053,3,156,244,233,471,N/A,N/A
131,car,0.7149754762649536,4,1432,321,1516,381,N/A,N/A
132,person,0.8288869857788086,3,161,247,239,470,N/A,N/A
132,car,0.7161301374435425,4,1430,321,1515,381,N/A,N/A
133,person,0.8315315246582031,3,167,246,245,470,N/A,N/A
133,car,0.7235179543495178,4,1424,321,1515,381,N/A,N/A
134,person,0.8533379435539246,3,171,241,251,469,N/A,N/A
134,car,0.712648332118988,4,1424,321,1515,381,N/A,N/A
135,person,0.8512929081916809,3,178,240,259,467,N/A,N/A
135,car,0.718625545501709,4,1424,321,1514,382,N/A,N/A
136,person,0.8251579999923706,3,182,241,273,467,N/A,N/A
136,car,0.7095376253128052,4,1424,321,1513,382,N/A,N/A
137,person,0.8234772682189941,3,185,246,279,468,N/A,N/A
137,car,0.7172856330871582,4,1420,320,1513,382,N/A,N/A
138,person,0.8285104036331177,3,188,250,282,468,N/A,N/A
138,car,0.7069963216781616,4,1420,320,1514,382,N/A,N/A
139,person,0.8481942415237427,3,191,256,284,469,N/A,N/A
139,car,0.7068387269973755,4,1419,320,1514,382,N/A,N/A
140,person,0.859657883644104,3,193,257,287,469,N/A,N/A
140,car,0.6955786943435669,4,1419,321,1514,382,N/A,N/A
141,person,0.8615140318870544,3,196,262,288,469,N/A,N/A
141,car,0.692196786403656,4,1419,320,1515,382,N/A,N/A
142,person,0.8589622974395752,3,200,257,289,468,N/A,N/A
142,car,0.6910800933837891,4,1420,321,1515,382,N/A,N/A
143,person,0.8380601406097412,3,205,255,290,467,N/A,N/A
143,car,0.6838262677192688,4,1422,321,1514,381,N/A,N/A
144,person,0.820656418800354,3,212,255,290,465,N/A,N/A
144,car,0.6891606450080872,4,1423,321,1516,382,N/A,N/A
145,person,0.825619101524353,3,221,248,292,464,N/A,N/A
145,car,0.6706817150115967,4,1424,322,1516,382,N/A,N/A
146,person,0.7969823479652405,3,229,245,294,462,N/A,N/A
146,car,0.6613736152648926,4,1425,322,1516,382,N/A,N/A
147,person,0.7992081046104431,3,233,244,296,461,N/A,N/A
147,car,0.6160085797309875,4,1425,322,1515,381,N/A,N/A
148,car,0.5586598515510559,4,1425,322,1512,381,N/A,N/A
149,car,0.5547849535942078,4,1426,322,1510,380,N/A,N/A
150,person,0.8004134297370911,3,242,242,308,461,N/A,N/A
150,car,0.5743608474731445,4,1426,322,1511,381,N/A,N/A
151,person,0.7936097979545593,3,243,246,315,461,N/A,N/A
151,car,0.5812489986419678,4,1426,323,1511,381,N/A,N/A
152,person,0.7732815742492676,3,244,249,320,461,N/A,N/A
152,car,0.5591856837272644,4,1426,323,1509,381,N/A,N/A
153,person,0.7979234457015991,3,244,251,323,460,N/A,N/A
153,car,0.5519623756408691,4,1426,323,1508,381,N/A,N/A
154,person,0.7876638770103455,3,248,252,326,459,N/A,N/A
154,car,0.5319029092788696,4,1425,323,1507,381,N/A,N/A
155,person,0.7492697834968567,3,251,256,330,459,N/A,N/A
155,car,0.5275933146476746,4,1425,323,1505,381,N/A,N/A
156,person,0.7238430380821228,3,253,255,331,459,N/A,N/A
156,car,0.5128912925720215,4,1425,323,1504,379,N/A,N/A
157,person,0.798242449760437,3,260,253,334,452,N/A,N/A
157,car,0.5327669382095337,4,1425,323,1508,378,N/A,N/A
158,person,0.7921741008758545,3,266,252,338,449,N/A,N/A
158,car,0.5694753527641296,4,1424,323,1511,379,N/A,N/A
159,person,0.7877596020698547,3,275,246,343,450,N/A,N/A
159,car,0.5539648532867432,4,1425,323,1512,379,N/A,N/A
160,person,0.7992317080497742,3,282,244,350,450,N/A,N/A
160,car,0.541161060333252,4,1425,323,1512,379,N/A,N/A
161,person,0.8037120699882507,3,289,245,355,451,N/A,N/A
161,car,0.541803777217865,4,1425,323,1512,378,N/A,N/A
162,person,0.7901896238327026,3,292,250,360,451,N/A,N/A
162,car,0.5322960019111633,4,1425,323,1512,378,N/A,N/A
163,person,0.7434898614883423,3,295,257,366,452,N/A,N/A
163,car,0.5335143804550171,4,1425,323,1512,378,N/A,N/A
164,person,0.7319543957710266,3,298,262,373,451,N/A,N/A
164,car,0.524802565574646,4,1425,323,1513,378,N/A,N/A
165,person,0.8044258952140808,3,301,265,379,451,N/A,N/A
165,car,0.5494401454925537,4,1424,323,1513,378,N/A,N/A
166,person,0.8244439363479614,3,303,262,383,451,N/A,N/A
166,car,0.5526407361030579,4,1425,323,1513,378,N/A,N/A
167,person,0.8207910060882568,3,305,262,385,451,N/A,N/A
167,car,0.5336249470710754,4,1425,323,1511,379,N/A,N/A
168,person,0.8363540768623352,3,305,262,387,451,N/A,N/A
168,car,0.5347388982772827,4,1425,323,1510,380,N/A,N/A
169,person,0.8537005186080933,3,308,259,388,450,N/A,N/A
169,car,0.5991349816322327,4,1425,323,1513,382,N/A,N/A
170,person,0.8122677803039551,3,312,258,389,450,N/A,N/A
170,car,0.5887657999992371,4,1425,323,1514,382,N/A,N/A
171,person,0.7690340280532837,3,318,257,393,450,N/A,N/A
171,car,0.5974762439727783,4,1425,323,1514,382,N/A,N/A
172,person,0.7618369460105896,3,326,257,395,448,N/A,N/A
172,car,0.600460946559906,4,1425,323,1514,382,N/A,N/A
173,person,0.7730699777603149,3,332,259,396,447,N/A,N/A
173,car,0.5887707471847534,4,1425,323,1514,382,N/A,N/A
174,person,0.8006404638290405,3,337,258,398,445,N/A,N/A
174,car,0.5878433585166931,4,1425,323,1514,382,N/A,N/A
175,person,0.6085139513015747,3,341,258,400,444,N/A,N/A
175,car,0.5828667879104614,4,1426,323,1514,381,N/A,N/A
176,person,0.5857411623001099,3,343,256,403,444,N/A,N/A
176,car,0.562758207321167,4,1426,323,1514,380,N/A,N/A
177,person,0.5943560600280762,3,345,262,403,445,N/A,N/A
177,car,0.5633206367492676,4,1427,323,1513,380,N/A,N/A
178,person,0.7629921436309814,3,348,258,409,444,N/A,N/A
178,car,0.5359822511672974,4,1426,323,1512,381,N/A,N/A
178,car,0.6084664463996887,5,1359,321,1399,357,N/A,N/A
179,person,0.8010430932044983,3,348,255,413,444,N/A,N/A
179,car,0.5528281927108765,4,1426,323,1512,380,N/A,N/A
179,car,0.6172358989715576,5,1360,321,1400,356,N/A,N/A
180,person,0.7701252698898315,3,350,255,415,444,N/A,N/A
180,car,0.5354763865470886,4,1426,324,1511,379,N/A,N/A
180,car,0.6335508227348328,5,1361,321,1400,357,N/A,N/A
181,person,0.7555109262466431,3,349,255,418,443,N/A,N/A
181,car,0.5104265809059143,4,1426,324,1510,379,N/A,N/A
181,car,0.6427048444747925,5,1360,321,1401,356,N/A,N/A
182,person,0.7330105304718018,3,349,257,423,444,N/A,N/A
182,car,0.4977725148200989,4,1426,324,1508,379,N/A,N/A
182,car,0.6654868125915527,5,1357,321,1401,356,N/A,N/A
183,person,0.7346913814544678,3,355,259,425,443,N/A,N/A
183,car,0.4739251434803009,4,1427,324,1505,378,N/A,N/A
183,car,0.6421886086463928,5,1355,321,1401,356,N/A,N/A
184,person,0.7586285471916199,3,360,262,428,442,N/A,N/A
